datasetID,datasetName,licence,ownerName,ownerID,usedBy,uses,pii,datasetType,contactName,contactEmail,published,link,description,metadataCatalogueReference,updateDate,objective
dataset1,Dataset title 1,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 1,1,dataset2,,n,dataset,Rob Chambers,rob@swirrl.com,y,https://environment.data.gov.uk/appgallery,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam a venenatis felis. Sed fermentum, lorem et egestas posuere, tellus lectus lobortis neque, eget lobortis elit lectus vel lorem. Vivamus malesuada consectetur orci, consectetur eleifend nunc venenatis ac. Nulla id nisi sed risus dignissim dapibus. Praesent congue auctor maximus. Morbi vel neque facilisis, blandit risus eget, dictum tellus. Nullam eleifend iaculis luctus. Pellentesque eget fermentum sapien, id dignissim odio. In vel mauris laoreet, rhoncus nisl in, vulputate risus. Donec vel erat eget nibh molestie dignissim eu vitae metus.",,01/05/2020,Regulation
dataset2,Dataset title 2,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,dataset1,,y,system,Rob Chambers,rob@swirrl.com,n,https://environment.data.gov.uk/appgallery,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam a venenatis felis. Sed fermentum, lorem et egestas posuere, tellus lectus lobortis neque, eget lobortis elit lectus vel lorem. Vivamus malesuada consectetur orci, consectetur eleifend nunc venenatis ac. Nulla id nisi sed risus dignissim dapibus. Praesent congue auctor maximus. Morbi vel neque facilisis, blandit risus eget, dictum tellus. Nullam eleifend iaculis luctus. Pellentesque eget fermentum sapien, id dignissim odio. In vel mauris laoreet, rhoncus nisl in, vulputate risus. Donec vel erat eget nibh molestie dignissim eu vitae metus.",,02/05/2020,Data source
dataset3,Dataset title 3,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,dataset1,dataset2,n,dataset,Rob Chambers,rob@swirrl.com,y,https://environment.data.gov.uk/appgallery,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam a venenatis felis. Sed fermentum, lorem et egestas posuere, tellus lectus lobortis neque, eget lobortis elit lectus vel lorem. Vivamus malesuada consectetur orci, consectetur eleifend nunc venenatis ac. Nulla id nisi sed risus dignissim dapibus. Praesent congue auctor maximus. Morbi vel neque facilisis, blandit risus eget, dictum tellus. Nullam eleifend iaculis luctus. Pellentesque eget fermentum sapien, id dignissim odio. In vel mauris laoreet, rhoncus nisl in, vulputate risus. Donec vel erat eget nibh molestie dignissim eu vitae metus.",7f47d32f-1237-4bd1-aa24-f3f592a8050f,03/05/2020,Regulation
dataset4,Dataset title 4,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,,,y,system,Rob Chambers,rob@swirrl.com,n,https://environment.data.gov.uk/appgallery,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam a venenatis felis. Sed fermentum, lorem et egestas posuere, tellus lectus lobortis neque, eget lobortis elit lectus vel lorem. Vivamus malesuada consectetur orci, consectetur eleifend nunc venenatis ac. Nulla id nisi sed risus dignissim dapibus. Praesent congue auctor maximus. Morbi vel neque facilisis, blandit risus eget, dictum tellus. Nullam eleifend iaculis luctus. Pellentesque eget fermentum sapien, id dignissim odio. In vel mauris laoreet, rhoncus nisl in, vulputate risus. Donec vel erat eget nibh molestie dignissim eu vitae metus.",,04/05/2020,Data source
dataset5,Dataset title 5,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,,dataset4,n,dataset,Rob Chambers,rob@swirrl.com,y,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam a venenatis felis. Sed fermentum, lorem et egestas posuere, tellus lectus lobortis neque, eget lobortis elit lectus vel lorem. Vivamus malesuada consectetur orci, consectetur eleifend nunc venenatis ac. Nulla id nisi sed risus dignissim dapibus. Praesent congue auctor maximus. Morbi vel neque facilisis, blandit risus eget, dictum tellus. Nullam eleifend iaculis luctus. Pellentesque eget fermentum sapien, id dignissim odio. In vel mauris laoreet, rhoncus nisl in, vulputate risus. Donec vel erat eget nibh molestie dignissim eu vitae metus.",7f47d32f-1237-4bd1-aa24-f3f592a8050f,05/05/2020,Regulation
dataset6,Dataset title 6,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 1,1,dataset2,,n,system,Rob Chambers,rob@swirrl.com,n,https://environment.data.gov.uk/appgallery,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam a venenatis felis. Sed fermentum, lorem et egestas posuere, tellus lectus lobortis neque, eget lobortis elit lectus vel lorem. Vivamus malesuada consectetur orci, consectetur eleifend nunc venenatis ac. Nulla id nisi sed risus dignissim dapibus. Praesent congue auctor maximus. Morbi vel neque facilisis, blandit risus eget, dictum tellus. Nullam eleifend iaculis luctus. Pellentesque eget fermentum sapien, id dignissim odio. In vel mauris laoreet, rhoncus nisl in, vulputate risus. Donec vel erat eget nibh molestie dignissim eu vitae metus.",,06/05/2020,Data source
dataset7,Dataset title 7,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 2,2,,dataset3,n,dataset,Rob Chambers,rob@swirrl.com,y,https://environment.data.gov.uk/appgallery,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam a venenatis felis. Sed fermentum, lorem et egestas posuere, tellus lectus lobortis neque, eget lobortis elit lectus vel lorem. Vivamus malesuada consectetur orci, consectetur eleifend nunc venenatis ac. Nulla id nisi sed risus dignissim dapibus. Praesent congue auctor maximus. Morbi vel neque facilisis, blandit risus eget, dictum tellus. Nullam eleifend iaculis luctus. Pellentesque eget fermentum sapien, id dignissim odio. In vel mauris laoreet, rhoncus nisl in, vulputate risus. Donec vel erat eget nibh molestie dignissim eu vitae metus.",7f47d32f-1237-4bd1-aa24-f3f592a8050f,07/05/2020,Regulation
dataset8,Dataset title 8,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,dataset1,,y,system,Rob Chambers,rob@swirrl.com,n,https://environment.data.gov.uk/appgallery,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam a venenatis felis. Sed fermentum, lorem et egestas posuere, tellus lectus lobortis neque, eget lobortis elit lectus vel lorem. Vivamus malesuada consectetur orci, consectetur eleifend nunc venenatis ac. Nulla id nisi sed risus dignissim dapibus. Praesent congue auctor maximus. Morbi vel neque facilisis, blandit risus eget, dictum tellus. Nullam eleifend iaculis luctus. Pellentesque eget fermentum sapien, id dignissim odio. In vel mauris laoreet, rhoncus nisl in, vulputate risus. Donec vel erat eget nibh molestie dignissim eu vitae metus.",,08/05/2020,Data source
dataset9,Dataset title 9,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,dataset1,dataset2,n,dataset,Rob Chambers,rob@swirrl.com,y,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam a venenatis felis. Sed fermentum, lorem et egestas posuere, tellus lectus lobortis neque, eget lobortis elit lectus vel lorem. Vivamus malesuada consectetur orci, consectetur eleifend nunc venenatis ac. Nulla id nisi sed risus dignissim dapibus. Praesent congue auctor maximus. Morbi vel neque facilisis, blandit risus eget, dictum tellus. Nullam eleifend iaculis luctus. Pellentesque eget fermentum sapien, id dignissim odio. In vel mauris laoreet, rhoncus nisl in, vulputate risus. Donec vel erat eget nibh molestie dignissim eu vitae metus.",7f47d32f-1237-4bd1-aa24-f3f592a8050f,09/05/2020,Regulation
dataset10,Dataset title 10,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,,,y,system,Rob Chambers,rob@swirrl.com,n,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam a venenatis felis. Sed fermentum, lorem et egestas posuere, tellus lectus lobortis neque, eget lobortis elit lectus vel lorem. Vivamus malesuada consectetur orci, consectetur eleifend nunc venenatis ac. Nulla id nisi sed risus dignissim dapibus. Praesent congue auctor maximus. Morbi vel neque facilisis, blandit risus eget, dictum tellus. Nullam eleifend iaculis luctus. Pellentesque eget fermentum sapien, id dignissim odio. In vel mauris laoreet, rhoncus nisl in, vulputate risus. Donec vel erat eget nibh molestie dignissim eu vitae metus.",,10/05/2020,Data source
